Country,2024 Immigrant Population
United States,52375047
Germany,16750084
Saudi Arabia,13683841
United Kingdom,11845479
France,9186757
Spain,8870527
Canada,8805839
United Arab Emirates,8157000
Australia,8111404
Russia,7605774
Turkey,7083501
Italy,6553671
Jordan,5280168
Ukraine,5064173
India,4796255
Pakistan,4175958
Iran,3840654
Malaysia,3806514
Japan,3409529
Kuwait,3323191
Thailand,3179399
Colombia,3063518
Hong Kong,3063318
Netherlands,2956518
Bangladesh,2906338
Cote d'Ivoire,2880839
Singapore,2841665
Switzerland,2773840
South Africa,2631100
Sudan,2397113
Belgium,2349032
Qatar,2337000
Austria,2327064
Oman,2283366
Sweden,2272158
Israel,2091569
Kazakhstan,2089797
Uganda,2057759
Argentina,1958039
Peru,1837219
South Korea,1811507
Poland,1739901
Mexico,1726089
China,1638718
Chile,1538324
New Zealand,1467989
Greece,1423964
Lebanon,1422583
Brazil,1406299
Nigeria,1403281
